snr_level,num_samples,accuracy,precision,recall,f1_score,loss,am_accuracy,am_recall,error
-10,450,0.9822222222222222,0.9823499970558793,0.9822222222222222,0.9822505740506937,0.05163387581706047,0.9666666666666667,0.9666666666666667,
-8,450,0.9866666666666667,0.9866195367035703,0.9866666666666667,0.9866215510439933,0.05722229182720184,0.98,0.98,
-6,450,0.9777777777777777,0.977898961726455,0.9777777777777777,0.977721730529011,0.07556892931461334,0.96,0.96,
-4,450,0.98,0.9799608357449698,0.98,0.9798362457479329,0.0642964094877243,0.9733333333333334,0.9733333333333334,
-2,450,0.9844444444444445,0.9845391069647362,0.9844444444444445,0.9842543897617915,0.04291500151157379,0.9866666666666667,0.9866666666666667,
0,450,0.9755555555555555,0.9752639420836098,0.9755555555555555,0.9751803892688142,0.06897371262311935,0.9733333333333334,0.9733333333333334,
2,450,0.9577777777777777,0.9575069881201956,0.9577777777777777,0.9575008300204786,0.11532915383577347,0.94,0.94,
4,450,0.9666666666666667,0.9670206888776143,0.9666666666666667,0.9666273966273967,0.08147032558917999,0.94,0.94,
6,450,0.9755555555555555,0.9756390522806846,0.9755555555555555,0.9754375699780046,0.06283853948116302,0.9666666666666667,0.9666666666666667,
8,450,0.9733333333333334,0.9730979260391026,0.9733333333333334,0.9728764981761334,0.05863255634903908,0.9733333333333334,0.9733333333333334,
10,450,0.9644444444444444,0.9641705571117335,0.9644444444444444,0.9642870953762044,0.07960836589336395,0.9466666666666667,0.9466666666666667,
12,450,0.9911111111111112,0.9911379913635849,0.9911111111111112,0.9910882950056433,0.05151659622788429,0.9866666666666667,0.9866666666666667,
14,450,0.98,0.980194174105701,0.98,0.9799509616549574,0.05482342094182968,0.9666666666666667,0.9666666666666667,
16,450,0.9622222222222222,0.9618773879317719,0.9622222222222222,0.9618935364386955,0.08029185980558395,0.94,0.94,
18,450,0.9733333333333334,0.9734215430259787,0.9733333333333334,0.9729924051432509,0.06198340654373169,0.9666666666666667,0.9666666666666667,
